n07942152,people,(plural) any group of human beings (men or women or children) collectively," ""old people"""," ""there were at least 200 people in the audience"".",,,
n02472293,"homo, man, human being, human","any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage.",,,,,
n09918248,"child, kid",a human offspring (son or daughter) of any age," ""they had three children"""," ""they were able to send their kids to college"".",,,
n02975212,"case, display case, showcase, vitrine",a glass container used to store and display items in a shop or museum or home.,,,,,
n03544360,house,a dwelling that serves as living quarters for one or more families," ""he has a house on Cape Cod"""," ""she felt she had to get out of the house"".",,,
n04146050,"school, schoolhouse",a building where young people receive education," ""the school was built in 1932"""," ""he walked to school every morning"".",,,
n08238463,"class, form, grade, course",a body of students who are taught together," ""early morning classes are always sleepy"".",,,,
n04105893,room,an area within a building enclosed by walls and floor and ceiling," ""the rooms were very small but they had a nice view"".",,,,
n03528100,"home, nursing home, rest home",an institution where people are cared for," ""a home for the elderly"".",,,,
n04453666,top,a garment (especially for women) that extends from the shoulders to the waist or hips," ""he stared as she buttoned her top"".",,,,
n10787470,"woman, adult female",an adult female person (as opposed to a man)," ""the woman kept house while the man hunted"".",,,,
n04359589,support,any device that bears the weight of another thing," ""there was no place to attach supports for a shelf"".",,,,
n03841666,"office, business office",place of business where professional or clerical duties are performed," ""he rented an office in the new building"".",,,,
n02993546,"center, centre",a building dedicated to a particular activity," ""they were raising money to build a new center for research"".",,,,
n04345028,study,a room used for reading and writing and studying," ""he knocked lightly on the closed door of the study"".",,,,
n09763784,"acquaintance, friend",a person with whom you are acquainted," ""I have trouble remembering the names of all my acquaintances"""," ""we are friends of the family"".",,,
n03365991,"floor, level, storey, story",a structure consisting of a room or set of rooms at a single position along a vertical scale," ""what level is the office on?"".",,,,
n14974264,paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses.,,,,,
n03259505,"dwelling, home, domicile, abode, habitation, dwelling house",housing that someone is living in," ""he built a modest dwelling near the pond"""," ""they raise money to provide homes for the homeless"".",,,
n06359193,"web site, website, internet site, site",has bow a computer connected to the internet that maintains a series of web pages on the World Wide Web," ""the Israeli web site was damaged by hostile hackers"".",,,,
n05538625,"head, caput",the upper part of the human body or the front part of the body in animals, contains the face and brains," ""he stuck his head out the window"".",,,
n06267145,"newspaper, paper",has bow a daily or weekly publication on folded sheets, contains news and articles and advertisements," ""he read his newspaper at breakfast"".",,,
n09437454,"slope, incline, side",an elevated geological formation," ""he climbed the steep slope"""," ""the house was built on the side of a mountain"".",,,
n04096066,"road, route",an open way (generally public) for travel or transportation.,,,,,
n04008385,"production line, assembly line, line",mechanical system in a factory whereby an article is conveyed through sites at which successive operations are performed on it.,,,,,
n03076708,"commodity, trade good, good",articles of commerce.,,,,,
n04335209,street,the part of a thoroughfare between the sidewalks, the part of the thoroughfare on which vehicles travel," ""be careful crossing the street"".",,,
n04402057,"telephone line, phone line, telephone circuit, subscriber line, line",a telephone connection.,,,,,
n10467179,president,the chief executive of a republic.,,,,,
n06613686,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick",a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement," ""they went to a movie every Saturday night"""," ""the film was shot on location"".",,,
n10665698,"student, pupil, educatee",a learner who is enrolled in an educational institution.,,,,,
n03733547,means,an instrumentality for accomplishing some end.,,,,,
n03956922,"plant, works, industrial plant",buildings for carrying on industrial labor," ""they built a large plant to manufacture automobiles"".",,,,
n00021265,"food, nutrient",any substance that can be metabolized by an animal to give energy and build tissue.,,,,,
n02913152,"building, edifice",a structure that has a roof and walls and stands more or less permanently in one place," ""there was a three-story building on the corner"""," ""it was an imposing edifice"".",,,
n04217882,"signboard, sign",structure displaying a board on which advertisements can be posted," ""the highway was lined with signboards"".",,,,
n04534127,"video recording, video",a recording of both the visual and audible components (especially one containing a recording of a movie or television program).,,,,,
n02788689,bar,a rigid piece of metal or wood, usually used as a fastening or obstruction or weapon," ""there were bars in the windows to prevent escape"".",,,
n09416076,"rock, stone",a lump or mass of hard consolidated mineral matter," ""he threw a rock at me"".",,,,
n13905792,"wrinkle, furrow, crease, crinkle, seam, line",a slight depression in the smoothness of a surface," ""his face has many lines"""," ""ironing gets rid of most wrinkles"".",,,
n04296562,stage,a large platform on which people can stand and can be seen by an audience," ""he clambered up onto the stage and got the actors to help him into the box"".",,,,
n04000311,"press, printing press",a machine used for printing.,,,,,
n03028079,"church, church building",has bow a place for public (especially Christian) worship," ""the church was empty"".",,,,
n02958343,"car, auto, automobile, machine, motorcar",a motor vehicle with four wheels, usually propelled by an internal combustion engine," ""he needs a car to get to work"".",,,
n03661043,library,has bow a building that houses a collection of books and other materials.,,,,,
n02883344,box,a (usually rectangular) container, may have a lid," ""he rummaged through a box of spare parts"".",,,
n04202417,"shop, store",a mercantile establishment for the retail sale of goods or services," ""he bought it at a shop on Cape Cod"".",,,,
n03461385,"grocery store, grocery, food market, market",has bow a marketplace where groceries are sold," ""the grocery store included a meat market"".",,,,
n10027246,"double, image, look-alike",someone who closely resembles a famous person (especially an actor)," ""he could be Gingrich's double"""," ""she's the very image of her mother"".",,,
n09815790,"assistant, helper, help, supporter",a person who contributes to the fulfillment of a need or furtherance of an effort or purpose," ""my invaluable assistant"""," ""they hired additional help to finish the work"".",,,
n13865904,heart,a plane figure with rounded sides curving inward at the top and intersecting at the bottom, conventionally used on playing cards and valentines," ""he drew a heart and called it a valentine"".",,,
n10036266,"drug user, substance abuser, user",a person who takes drugs.,,,,,
n04379964,table,a piece of furniture with tableware for a meal laid out on it," ""I reserved a table at my favorite restaurant"".",,,,
n03343560,fire,a fireplace in which a relatively small fire is burning," ""they sat by the fire and talked"".",,,,
n09403734,"range, mountain range, range of mountains, chain, mountain chain, chain of mountains",a series of hills or mountains," ""the valley was between two ranges of hills"""," ""the plains lay just beyond the mountain range"".",,,
n10130686,"girlfriend, girl, lady friend",a girl or young woman with whom a man is romantically involved," ""his girlfriend kicked him out"".",,,,
n03221720,door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle," ""he knocked on the door"""," ""he slammed the door as he left"".",,,
n04341686,"structure, construction",a thing constructed, a complex entity constructed of many parts," ""the structure consisted of a series of arches"""," ""she wore her hair in an amazing construction of whirls and ribbons"".",,
n08573674,"battlefront, front, front line",the line along which opposing armies face each other.,,,,,
n08524735,"city, metropolis, urban center",a large and densely populated urban area, may include several independent administrative districts," ""Ancient Troy was a great city"".",,,
n03720163,map,a diagrammatic representation of the earth's surface (or part of it).,,,,,
n07765073,date,sweet edible fruit of the date palm with a single long woody seed.,,,,,
